U+7684	的	de,dī,dí,dì
U+7F2A	缪	miào,miù,móu
U+8537	蔷	qiáng
U+8BEB	诫	jiè
U+6064	恤	xù
U+5484	咄	duō
U+9992	馒	mán
U+77EB	矫	jiáo,jiǎo
U+75DE	痞	pǐ
U+6A58	橘	jú
U+6C27	氧	yǎng
U+8D3F	贿	huì
U+80AE	肮	āng
U+747E	瑾	jǐn
U+74A7	璧	bì
U+70D9	烙	lào,luò
U+6518	攘	rǎng
U+6525	攥	zuàn
U+6C70	汰	tài
U+6EBA	溺	nì
U+94C5	铅	qiān,yán
U+5494	咔	kā,kǎ
U+82AD	芭	bā
U+620E	戎	róng
U+8910	褐	hè
U+5DE9	巩	gǒng
U+5406	吆	yāo
U+5F70	彰	zhāng
U+6F29	漩	xuán
U+8046	聆	líng
U+849C	蒜	suàn
U+68D5	棕	zōng
U+9E43	鹃	juān
U+5E1C	帜	zhì
U+9102	鄂	è
U+6410	搐	chù
U+853C	蔼	ǎi
U+6026	怦	pēng
U+7A57	穗	suì
U+4EA9	亩	mǔ
U+64B0	撰	zhuàn
U+7ECE	绎	yì
U+725F	牟	móu,mù
U+54A8	咨	zī
U+5944	奄	yǎn
U+6893	梓	zǐ
U+7EDA	绚	xuàn
U+9600	阀	fá
U+70D8	烘	hōng
U+7099	炙	zhì
U+7FCE	翎	líng
U+60CB	惋	wǎn
U+9A6F	驯	xùn
U+6829	栩	xǔ
U+903E	逾	yú
U+589F	墟	xū
U+9B1F	鬟	huán
U+832C	茬	chá
U+892A	褪	tuì,tùn
U+946B	鑫	xīn
U+9AB8	骸	hái
U+5CED	峭	qiào
U+7F05	缅	miǎn
U+7076	灶	zào
U+6D3D	洽	qià
U+796F	祯	zhēn
U+6684	暄	xuān
U+88D4	裔	yì
U+97F6	韶	sháo
U+7F0E	缎	duàn
U+781A	砚	yàn
U+9525	锥	zhuī
U+8F99	辙	zhé
U+60E6	惦	diàn
U+94DB	铛	chēng,dāng
U+67A3	枣	zǎo
U+6866	桦	huà
U+9083	邃	suì
U+6A71	橱	chú
U+6414	搔	sāo
U+8151	腑	fǔ
U+8424	萤	yíng
U+67A2	枢	shū
U+904F	遏	è
U+52DF	募	mù
U+61AC	憬	jǐng
U+5EB5	庵	ān
U+53FC	叼	diāo
U+5AD6	嫖	piáo
U+82DB	苛	kē
U+9523	锣	luó
U+8E51	蹑	niè
U+62CC	拌	bàn
U+5960	奠	diàn
U+79FD	秽	huì
U+6BB4	殴	ōu
U+558B	喋	dié,zhá
U+7CD9	糙	cāo
U+8C82	貂	diāo
U+63D6	揖	yī
U+8475	葵	kuí
U+6986	榆	yú
U+9890	颐	yí
U+7682	皂	zào
U+7708	眈	dān
U+627C	扼	è
U+773A	眺	tiào
U+5B5C	孜	zī
U+7C0C	簌	sù
U+73BA	玺	xǐ
U+504C	偌	ruò
U+8E7F	蹿	cuān
U+84D3	蓓	bèi
U+5F1B	弛	chí
U+5E87	庇	bì
U+6A80	檀	tán
U+67AD	枭	xiāo
U+8782	螂	láng
U+8DBE	趾	zhǐ
U+5D2D	崭	zhǎn
U+59B2	妲	dá
U+6382	掂	diān
U+9187	醇	chún
U+63BA	掺	chān
U+9A7F	驿	yì
U+69FD	槽	cáo
U+60EC	惬	qiè
U+9570	镰	lián
U+62A1	抡	lūn
U+61A7	憧	chōng
U+5220	删	shān
U+9E33	鸳	yuān
U+9163	酣	hān
U+5BA6	宦	huàn
U+7B50	筐	kuāng
U+7405	琅	láng
U+77BB	瞻	zhān
U+7131	焱	yàn
U+98D9	飙	biāo
U+6E43	湃	pài
U+4FE8	俨	yǎn
U+8DF7	跷	qiāo
U+6805	栅	shān,zhà
U+6485	撅	juē
U+717D	煽	shān
U+5471	呱	gū,guā
U+7F30	缰	jiāng
U+731D	猝	cù
U+886E	衮	gǔn
U+80B4	肴	yáo
U+6B86	殆	dài
U+8C34	谴	qiǎn
U+852C	蔬	shū
U+98D2	飒	sà
U+5A67	婧	jìng
U+9610	阐	chǎn
U+8367	荧	yíng
U+4F88	侈	chǐ
U+970F	霏	fēi
U+761F	瘟	wēn
U+829C	芜	wú
U+4FED	俭	jiǎn
U+5D0E	崎	qí
U+4EA5	亥	hài
U+4FD0	俐	lì
U+5C7F	屿	yǔ
U+8B6C	譬	pì
U+997A	饺	jiǎo
U+5784	垄	lǒng
U+7574	畴	chóu
U+6760	杠	gàng
U+9B13	鬓	bìn
U+8BBC	讼	sòng
U+664F	晏	yàn
U+5F08	弈	yì
U+978D	鞍	ān
U+7638	瘸	qué
U+94AE	钮	niǔ
U+73CF	珏	jué
U+94B0	钰	yù
U+5080	傀	kuǐ
U+5654	噔	dēng
U+9A6D	驭	yù
U+9776	靶	bǎ
U+8426	萦	yíng
U+97EC	韬	tāo
U+6059	恙	yàng
U+61FF	懿	yì
U+7AFA	竺	zhú
U+541D	吝	lìn
U+7F81	羁	jī
U+8340	荀	xún
U+766B	癫	diān
U+562D	嘭	pēng
U+83C7	菇	gū
U+6043	恃	shì
U+762A	瘪	biē,biě
U+5121	儡	lěi
U+8E0C	踌	chóu
U+5466	呦	yōu
U+6995	榕	róng
U+6635	昵	nì
U+8E87	躇	chú
U+70EC	烬	jìn
U+5570	啰	luō,luó,luo
U+914C	酌	zhuó
U+4E19	丙	bǐng
U+6D8E	涎	xián
U+54D2	哒	dā
U+51BD	冽	liè
U+9E3E	鸾	luán
U+780C	砌	qì
U+70E8	烨	yè
U+7FDF	翟	dí,zhái
U+8F97	辗	zhǎn
U+564E	噎	yē
U+9A79	驹	jū
U+567C	噼	pī
U+548E	咎	jiù
U+4EB5	亵	xiè
U+9668	陨	yǔn
U+8815	蠕	rú
U+5195	冕	miǎn
U+96CC	雌	cí
U+8338	茸	róng
U+745B	瑛	yīng
U+5243	剃	tì
U+63B0	掰	bāi
U+8E59	蹙	cù
U+6A61	橡	xiàng
U+4F6F	佯	yáng
U+7B03	笃	dǔ
U+5D1B	崛	jué
U+52D8	勘	kān
U+7A3C	稼	jià
U+6840	桀	jié
U+6E1D	渝	yú
U+6C50	汐	xī
U+9508	锈	xiù
U+78C5	磅	bàng,páng
U+58D5	壕	háo
U+5A04	娄	lóu
U+64AE	撮	cuō,zuǒ
U+7391	玑	jī
U+7960	祠	cí
U+9E6B	鹫	jiù
U+5A32	娲	wā
U+9ECF	黏	nián
U+73C0	珀	pò
U+777D	睽	kuí
U+6813	栓	shuān
U+7EEB	绫	líng
U+9611	阑	lán
U+9091	邑	yì
U+7455	瑕	xiá
U+78CB	磋	cuō
U+7C9F	粟	sù
U+85AF	薯	shǔ
U+6CAA	沪	hù
U+8BB7	讷	nè
U+5C91	岑	cén
U+709C	炜	wěi
U+73AE	玮	wěi
U+5A3C	娼	chāng
U+8FC2	迂	yū
U+4F0E	伎	jì
U+9CB8	鲸	jīng
U+7FE1	翡	fěi
U+575D	坝	bà
U+94D0	铐	kào
U+6D3C	洼	wā
U+8E4A	蹊	qī,xī
U+5BD0	寐	mèi
U+80BE	肾	shèn
U+9E2F	鸯	yāng
U+655D	敝	bì
U+6DA7	涧	jiàn
U+5D06	崆	kōng
U+752D	甭	béng
U+7B20	笠	lì
U+6248	扈	hù
U+54DD	哝	nóng
U+82AE	芮	ruì
U+5349	卉	huì
U+9773	靳	jìn
U+8BEC	诬	wū
U+672D	札	zhá
U+5A4A	婊	biǎo
U+88D8	裘	qiú
U+6249	扉	fēi
U+75AE	疮	chuāng
U+5DC5	巅	diān
U+575E	坞	wù
U+81B3	膳	shàn
U+524C	剌	là
U+9CC4	鳄	è
U+637A	捺	nà
U+60BC	悼	dào
U+8327	茧	jiǎn
U+6BCB	毋	wú
U+66D9	曙	shǔ
U+9985	馅	xiàn
U+7C38	簸	bǒ,bò
U+5FD2	忒	tuī
U+53DF	叟	sǒu
U+62F4	拴	shuān
U+5B37	嬷	mó
U+7A23	稣	sū
U+75F9	痹	bì
U+57A3	垣	yuán
U+86E4	蛤	gé,há
U+8C0F	谏	jiàn
U+7FB9	羹	gēng
U+6CA5	沥	lì
U+86FE	蛾	é
U+745A	瑚	hú
U+7194	熔	róng
U+60C6	惆	chóu
U+96CF	雏	chú
U+9977	饷	xiǎng
U+62D7	拗	ào,niù
U+71CE	燎	liáo,liǎo
U+71A0	熠	yì
U+85B0	薰	xūn
U+8543	蕃	bō
U+634B	捋	lǚ,luō
U+7C41	籁	lài
U+9AE6	髦	máo
U+98D3	飓	jù
U+7C3F	簿	bù
U+8FE2	迢	tiáo
U+6C69	汩	gǔ
U+95F8	闸	zhá
U+72E9	狩	shòu
U+9CA8	鲨	shā
U+8725	蜥	xī
U+60F4	惴	zhuì
U+80EF	胯	kuà
U+4FA8	侨	qiáo
U+52AD	劭	shào
U+70F9	烹	pēng
U+54A3	咣	guāng
U+6538	攸	yōu
U+9504	锄	chú
U+785D	硝	xiāo
U+9894	颔	hàn
U+9E25	鸥	ōu
U+6ED5	滕	téng
U+5BF0	寰	huán
U+7D0A	紊	wěn
U+8549	蕉	jiāo
U+7A20	稠	chóu
U+87C6	蟆	má
U+57A2	垢	gòu
U+6977	楷	jiē,kǎi
U+708A	炊	chuī
U+5FFB	忻	xīn
U+70B3	炳	bǐng
U+8146	腆	tiǎn
U+8912	褒	bāo
U+914B	酋	qiú
U+8D43	赃	zāng
U+62C8	拈	niān
U+6292	抒	shū
U+5B70	孰	shú
U+8884	袄	ǎo
U+8902	褂	guà
U+5B7A	孺	rú
U+80ED	胭	yān
U+8D58	赘	zhuì
U+5AE1	嫡	dí
U+7901	礁	jiāo
U+73C9	珉	mín
U+555C	啜	chuài,chuò
U+94B3	钳	qián
U+667E	晾	liàng
U+830E	茎	jīng
U+96A7	隧	suì
U+7ABF	窿	lóng
U+9A8B	骋	chěng
U+5AE6	嫦	cháng
U+69DB	槛	jiàn,kǎn
U+63B3	掳	lǔ
U+839E	莞	guǎn,wǎn
U+74E2	瓢	piáo
U+66DC	曜	yào
U+952F	锯	jù
U+7316	猖	chāng
U+9050	遐	xiá
U+8E4B	蹋	tà
U+98D5	飕	sōu
U+9EBE	麾	huī
U+6E0D	渍	zì
U+7325	猥	wěi
U+7BDD	篝	gōu
U+6B89	殉	xùn
U+67B7	枷	jiā
U+8712	蜒	yán
U+768E	皎	jiǎo
U+9701	霁	jì
U+8BE9	诩	xǔ
U+7A96	窖	jiào
U+54AB	咫	zhǐ
U+6AAC	檬	méng
U+4E52	乒	pīng
U+595A	奚	xī
U+6DE4	淤	yū
U+6EAF	溯	sù
U+51CB	凋	diāo
U+7EBA	纺	fǎng
U+7BF1	篱	lí
U+6CCC	泌	bì,mì
U+5228	刨	bào,páo
U+6A35	樵	qiáo
U+5FCF	忏	chàn
U+76CE	盎	àng
U+623E	戾	lì
U+5480	咀	jǔ,zuǐ
U+5C79	屹	yì
U+630E	挎	kuà
U+7F94	羔	gāo
U+6B83	殃	yāng
U+5E9A	庚	gēng
U+6DFC	淼	miǎo
U+6DC0	淀	diàn
U+9698	隘	ài
U+7EDB	绛	jiàng
U+7F28	缨	yīng
U+7118	焘	tāo
U+74A8	璨	càn
U+8DE4	跤	jiāo
U+9535	锵	qiāng
U+6441	摁	èn
U+75CA	痊	quán
U+5AD4	嫔	pín
U+81FB	臻	zhēn
U+6CEF	泯	mǐn
U+7CDC	糜	méi,mí
U+7766	睦	mù
U+55B5	喵	miāo
U+7F25	缥	piāo
U+8925	褥	rù
U+9B47	魇	yǎn
U+6C76	汶	wèn
U+998B	馋	chán
U+6E0E	渎	dú
U+873F	蜿	wān
U+62A0	抠	kōu
U+58A9	墩	dūn
U+68E3	棣	dì
U+6C93	沓	dá,tà
U+558F	喏	nuò
U+8BF2	诲	huì
U+7436	琶	pá
U+7F08	缈	miǎo
U+7F14	缔	dì
U+915D	酝	yùn
U+8037	耷	dā
U+5F3C	弼	bì
U+67EC	柬	jiǎn
U+6D4F	浏	liú
U+62F7	拷	kǎo
U+5241	剁	duò
U+67FF	柿	shì
U+7435	琵	pí
U+6C82	沂	yí
U+8559	蕙	huì
U+637B	捻	niǎn
U+5E1B	帛	bó
U+67E0	柠	níng
U+9975	饵	ěr
U+6482	撂	liào
U+5A13	娓	wěi
U+4E53	乓	pāng
U+8F72	轲	kē
U+9AEF	髯	rán
U+5A09	娉	pīng
U+572D	圭	guī
U+7480	璀	cuǐ
U+82D4	苔	tāi,tái
U+80AA	肪	fáng
U+542E	吮	shǔn
U+77A9	瞩	zhǔ
U+5544	啄	zhuó
U+5E37	帷	wéi
U+7B8D	箍	gū
U+87D1	蟑	zhāng
U+7096	炖	dùn
U+6897	梗	gěng
U+634E	捎	shāo,shào
U+77BF	瞿	qú
U+55EC	嗬	hē
U+8611	蘑	mó
U+550F	唏	xī
U+9E4A	鹊	què
U+77F6	矶	jī
U+7F8C	羌	qiāng
U+9ABC	骼	gé
U+7B5B	筛	shāi
U+9CA4	鲤	lǐ
U+7FB2	羲	xī
U+797A	祺	qí
U+9988	馈	kuì
U+4F2B	伫	zhù
U+7FBF	羿	yì
U+82DE	苞	bāo
U+7281	犁	lí
U+94CE	铎	duó
U+556C	啬	sè
U+8237	舷	xián
U+77D7	矗	chù
U+7656	癖	pǐ
U+63A3	掣	chè
U+533E	匾	biǎn
U+8C27	谧	mì
U+701B	瀛	yíng
U+73DE	珞	luò
U+8872	衲	nà
U+6BD3	毓	yù
U+607A	恺	kǎi
U+7EAC	纬	wěi
U+60F0	惰	duò
U+5624	嘤	yīng
U+8BE3	诣	yì
U+8C1B	谛	dì
U+85FB	藻	zǎo
U+5577	啷	lāng
U+4F58	佘	shé
U+9EE0	黠	xiá
U+9972	饲	sì
U+866C	虬	qiú
U+6DA4	涤	dí
U+9AA1	骡	luó
U+94B5	钵	bō
U+90AF	邯	hán
U+7B0B	笋	sǔn
U+7440	瑀	yǔ
U+82A5	芥	gài,jiè
U+91BA	醺	xūn
U+4F7C	佼	jiǎo
U+821C	舜	shùn
U+9F8C	龌	wò
U+7C2A	簪	zān
U+75F0	痰	tán
U+8E42	蹂	róu
U+607B	恻	cè
U+7C27	簧	huáng
U+7525	甥	shēng
U+817C	腼	miǎn
U+9A6E	驮	duò,tuó
U+7F24	缤	bīn
U+6F7A	潺	chán
U+7360	獠	liáo
U+7B4F	筏	fá
U+952D	锭	dìng
U+9619	阙	quē,què
U+7CA4	粤	yuè
U+778C	瞌	kē
U+9AFB	髻	jì
U+740F	琏	liǎn
U+9F8A	龊	chuò
U+690E	椎	zhuī
U+5506	唆	suō
U+7166	煦	xù
U+5D4B	嵋	méi
U+5E61	幡	fān
U+7FCC	翌	yì
U+6BE1	毡	zhān
U+78B3	碳	tàn
U+9E28	鸨	bǎo
U+95FD	闽	mǐn
U+8E8F	躏	lìn
U+8713	蜓	tíng
U+54BB	咻	xiū
U+634D	捍	hàn
U+7768	睨	nì
U+9F3E	鼾	hān
U+6854	桔	jié
U+5A06	娆	ráo
U+6289	抉	jué
U+739F	玟	wén
U+873B	蜻	qīng
U+5FA8	徨	huáng
U+55F2	嗲	diǎ
U+78BE	碾	niǎn
U+54D0	哐	kuāng
U+7CBC	粼	lín
U+5550	啐	cuì
U+8C11	谑	xuè
U+568F	嚏	tì
U+752C	甬	yǒng
U+9CD6	鳖	biē
U+69A8	榨	zhà
U+501C	倜	tì
U+7A37	稷	jì
U+59A4	妤	yú
U+7BE1	篡	cuàn
U+6664	晤	wù
U+8087	肇	zhào
U+5482	咂	zā
U+5E1A	帚	zhǒu
U+7624	瘤	liú
U+77A0	瞠	chēng
U+5685	嚅	rú
U+6006	怆	chuàng
U+9554	镔	bīn
U+64B5	撵	niǎn
U+88C6	裆	dāng
U+817A	腺	xiàn
U+9A81	骁	xiāo
U+5777	坷	kē,kě
U+7B90	箐	qìng
U+8783	螃	páng
U+51A2	冢	zhǒng
U+9522	锢	gù
U+6641	晁	cháo
U+6FD2	濒	bīn
U+8757	蝗	huáng
U+70FD	烽	fēng
U+8F98	辘	lù
U+8398	莘	shēn,xīn
U+64AC	撬	qiào
U+6FB9	澹	dàn,tán
U+74EE	瓮	wèng
U+4E98	亘	gèn
U+948A	钊	zhāo
U+7BD3	篓	lǒu
U+7F07	缇	tí
U+5BB8	宸	chén
U+6CD3	泓	hóng
U+9791	鞑	dá
U+80C4	胄	zhòu
U+7F9A	羚	líng
U+7EE5	绥	suí
U+7B3A	笺	jiān
U+8364	荤	hūn
U+8FC4	迄	qì
U+8E1E	踞	jù
U+6868	桨	jiǎng
U+6175	慵	yōng
U+5664	噤	jìn
U+5E4C	幌	huǎng
U+837B	荻	dí
U+8DDA	跚	shān
U+8892	袒	tǎn
U+6D63	浣	huàn
U+6984	榄	lǎn
U+75EA	痪	huàn
U+837C	荼	tú
U+6657	晗	hán
U+9609	阉	yān
U+814B	腋	yè
U+9AB0	骰	tóu
U+66DD	曝	bào,pù
U+6DAE	涮	shuàn
U+8E35	踵	zhǒng
U+70AC	炬	jù
U+6DA3	涣	huàn
U+4FDF	俟	qí,sì
U+7691	皑	ái
U+7791	瞑	míng
U+6E32	渲	xuàn
U+64DE	擞	sǒu,sòu
U+8D42	赂	lù
U+6E6E	湮	yān
U+9E93	麓	lù
U+94FF	铿	kēng
U+57D4	埔	bù,pǔ
U+5CE6	峦	luán
U+5658	噘	juē
U+6D93	涓	juān
U+63AC	掬	jū
U+8393	莓	méi
U+600F	怏	yàng
U+8403	萃	cuì
U+5472	呲	cī
U+8E52	蹒	pán
U+9CCC	鳌	áo
U+7750	睐	lài
U+6631	昱	yù
U+65CC	旌	jīng
U+645E	摞	luò
U+5420	吠	fèi
U+6FEE	濮	pú
U+535E	卞	biàn
U+742C	琬	wǎn
U+8C19	谙	ān
U+5555	啕	táo
U+8F76	轶	yì
U+642A	搪	táng
U+9647	陇	lǒng
U+7EA8	纨	wán
U+81BA	膺	yīng
U+768B	皋	gāo
U+972D	霭	ǎi
U+5453	呓	yì
U+6A44	橄	gǎn
U+7EB6	纶	guān,lún
U+579B	垛	duǒ,duò
U+55EB	嗫	niè
U+76C5	盅	zhōng
U+62C4	拄	zhǔ
U+8E1D	踝	huái
U+81E7	臧	zāng
U+6DC5	淅	xī
U+5C8C	岌	jí
U+5CB1	岱	dài
U+749E	璞	pú
U+7F04	缄	jiān
U+79E7	秧	yāng
U+7FF1	翱	áo
U+5364	卤	lǔ
U+9005	逅	hòu
U+9765	靥	yè
U+78D0	磐	pán
U+58D1	壑	hè
U+6593	斓	lán
U+7FCA	翊	yì
U+631B	挛	luán
U+7430	琰	yǎn
U+53C1	叁	sān
U+4F57	佗	tuó
U+9616	阖	hé
U+622C	戬	jiǎn
U+6002	怂	sǒng
U+6C72	汲	jí
U+57A0	垠	yín
U+8FE5	迥	jiǒng
U+549B	咛	níng
U+9082	邂	xiè
U+675E	杞	qǐ
U+75D8	痘	dòu
U+81CA	臊	sāo,sào
U+85D5	藕	ǒu
U+6E44	湄	méi
U+5AB2	媲	pì
U+765E	癞	lài
U+8F84	辄	zhé
U+7352	獒	áo
U+606A	恪	kè
U+783E	砾	lì
U+75C9	痉	jìng
U+5412	吒	zhā
U+8715	蜕	tuì
U+6930	椰	yē
U+4EE8	仨	sā
U+7EA3	纣	zhòu
U+9981	馁	něi
U+9550	镐	gǎo
U+8708	蜈	wú
U+7A88	窈	yǎo
U+79E4	秤	chèng
U+6862	桢	zhēn
U+7CB1	粱	liáng
U+8F90	辐	fú
U+6096	悖	bèi
U+6D94	涔	cén
U+5055	偕	xié
U+6E2D	渭	wèi
U+6C74	汴	biàn
U+8734	蜴	yì
U+6845	桅	wéi
U+9685	隅	yú
U+536F	卯	mǎo
U+9A9C	骜	ào
U+5B5A	孚	fú
U+79BA	禺	yú
U+7425	琥	hǔ
U+961A	阚	kàn
U+6775	杵	chǔ
U+6396	掖	yē,yè
U+7578	畸	jī
U+6654	晔	yè
U+5A40	婀	ē
U+83E1	菡	hàn
U+5676	噶	gá
U+6619	昙	tán
U+574D	坍	tān
U+4FD1	俑	yǒng
U+6EE4	滤	lǜ
U+4F8F	侏	zhū
U+6F66	潦	liáo
U+6332	挲	sā,suō
U+8983	覃	qín,tán
U+786B	硫	liú
U+4FF8	俸	fèng
U+87E0	蟠	pán
U+5F0B	弋	yì
U+6886	梆	bāng
U+9A78	驸	fù
U+7B08	笈	jí
U+5FF1	忱	chén
U+607F	恿	yǒng
U+80E5	胥	xū
U+57A6	垦	kěn
U+6EE2	滢	yíng
U+7A95	窕	tiǎo
U+6EC7	滇	diān
U+73C5	珅	shēn
U+90AC	邬	wū
U+5703	圃	pǔ
U+54BF	咿	yī
U+5F99	徙	xǐ
U+7634	瘴	zhàng
U+822B	舫	fǎng
U+55DD	嗝	gé
U+6CDE	泞	nìng
U+85D0	藐	miǎo
U+8D63	赣	gàn
U+9E66	鹦	yīng
U+9035	逵	kuí
U+620D	戍	shù
U+69AD	榭	xiè
U+63E9	揩	kāi
U+71B9	熹	xī
U+87FE	蟾	chán
U+973E	霾	mái
U+852B	蔫	niān
U+8DDB	跛	bǒ
U+5C90	岐	qí
U+8110	脐	qí
U+7CD7	糗	qiǔ
U+87B3	螳	táng
U+54FA	哺	bǔ
U+9E6D	鹭	lù
U+86A3	蚣	gōng
U+7080	炀	yáng
U+5D6C	嵬	wéi
U+8936	褶	zhě
U+6078	恸	tòng
U+96BD	隽	juàn
U+73A5	玥	yuè
U+7C7D	籽	zǐ
U+91DC	釜	fǔ
U+5250	剐	guǎ
U+9E20	鸠	jiū
U+78F7	磷	lín
U+5A11	娑	suō
U+8C04	谄	chǎn
U+5DF3	巳	sì
U+6063	恣	zì
U+732C	猬	wèi
U+916A	酪	lào
U+6E9F	溟	míng
U+4E15	丕	pī
U+96BC	隼	sǔn
U+5CD2	峒	dòng,tóng
U+828B	芋	yù
U+89CA	觊	jì
U+65D6	旖	yǐ
U+7B75	筵	yán
U+5A23	娣	dì
U+5A60	婠	wān
U+76F9	盹	dǔn
U+6DB8	涸	hé
U+52BE	劾	hé
U+988C	颌	hé
U+8D94	趔	liè
U+6B87	殇	shāng
U+564C	噌	cēng
U+8F67	轧	yà,zhá
U+6CBD	沽	gū
U+612B	愫	sù
U+9E22	鸢	yuān
U+9F87	龇	zī
U+73B7	玷	diàn
U+63B8	掸	dǎn
U+8D84	趄	jū,qiè
U+6EA5	溥	pǔ
U+75B5	疵	cī
U+7696	皖	wǎn
U+90BA	邺	yè
U+6773	杳	yǎo
U+807F	聿	yù
U+9540	镀	dù
U+794E	祎	yī
U+9E49	鹉	wǔ
U+530D	匍	pú
U+5D34	崴	wǎi
U+5C96	岖	qū
U+5E54	幔	màn
U+8748	蝈	guō
U+96D2	雒	luò
U+9551	镑	bàng
U+81C6	臆	yì
U+5043	偃	yǎn
U+8717	蜗	wō
U+77B0	瞰	kàn
U+4FAC	侬	nóng
U+90F8	郸	dān
U+6421	搡	sǎng
U+7F06	缆	lǎn
U+8882	袂	mèi
U+696E	楮	chǔ
U+8BE0	诠	quán
U+6D35	洵	xún
U+728A	犊	dú
U+6479	摹	mó
U+87C0	蟀	shuài
U+908B	邋	lā
U+74D2	瓒	zàn
U+82FB	苻	fú
U+8366	荦	luò
U+7AE3	竣	jùn
U+9AA5	骥	jì
U+6CD7	泗	sì
U+75E3	痣	zhì
U+8D32	贲	bēn
U+80F4	胴	dòng
U+6F7C	潼	tóng
U+5F11	弑	shì
U+5310	匐	fú
U+59E3	姣	jiāo
U+8C24	谤	bàng
U+8638	蘸	zhàn
U+87CB	蟋	xī
U+6E25	渥	wò
U+6D52	浒	hǔ,xǔ
U+86D0	蛐	qū
U+9602	阂	hé
U+7CEF	糯	nuò
U+6120	愠	yùn
U+5D47	嵇	jī
U+8C12	谒	yè
U+7EFE	绾	wǎn
U+8200	舀	yǎo
U+5464	呤	lìng
U+5659	噙	qín
U+69DF	槟	bīn,bīng
U+5623	嘣	bēng
U+8BC3	诃	hē
U+5B93	宓	fú,mì
U+8113	脓	nóng
U+6A1F	樟	zhāng
U+5FEA	忪	sōng
U+86F0	蛰	zhé
U+54A4	咤	zhà
U+961C	阜	fù
U+5CE5	峥	zhēng
U+6FE1	濡	rú
U+9062	遢	tā
U+7459	瑙	nǎo
U+7889	碉	diāo
U+8343	荃	quán
U+5B75	孵	fū
U+8BB9	讹	é
U+55F5	嗵	tōng
U+5F5D	彝	yí
U+9880	颀	qí
U+82D3	苓	líng
U+549D	咝	sī
U+81FE	臾	yú
U+7BC6	篆	zhuàn
U+692D	椭	tuǒ
U+6C8F	沏	qī
U+98A6	颦	pín
U+86C6	蛆	qū
U+6DC6	淆	xiáo
U+63C4	揄	yú
U+55D1	嗑	kē,kè
U+8F8E	辎	zī
U+8E2E	踮	diǎn
U+72B7	犷	guǎng
U+8354	荔	lì
U+9CC5	鳅	qiū
U+95EB	闫	yán
U+5FB5	徵	zhǐ
U+9697	隗	wěi
U+6E24	渤	bó
U+998D	馍	mó
U+950F	锏	jiǎn
U+6963	楣	méi
U+8703	蜃	shèn
U+905B	遛	liù
U+500C	倌	guān
U+6C24	氤	yīn
U+620C	戌	qu,xū
U+5D99	嶙	lín
U+9997	馗	kuí
U+532E	匮	kuì
U+63F6	揶	yé
U+80DA	胚	pēi
U+557B	啻	chì
U+6555	敕	chì
U+5919	夙	sù
U+73C8	珈	jiā
U+9539	锹	qiāo
U+8DC2	跂	qí
U+6452	摒	bìng
U+8FE9	迩	ěr
U+557E	啾	jiū
U+5CEA	峪	yù
U+977C	靼	dá
U+83E0	菠	bō
U+84DF	蓟	jì
U+6C85	沅	yuán
U+99A5	馥	fù
U+69CC	槌	chuí
U+71EE	燮	xiè
U+891B	褛	lǚ
U+8D3B	贻	yí
U+7934	礴	bó
U+8C5A	豚	tún
U+6C32	氲	yūn
U+6E4D	湍	tuān
U+814C	腌	ā,yān
U+86B1	蚱	zhà
U+6BA1	殡	bìn
U+6BD7	毗	pí
U+8019	耙	bà,pá
U+8BFD	诽	fěi
U+8934	褴	lán
U+6041	恁	nèn
U+5477	呷	xiā
U+868C	蚌	bàng,bèng
U+7601	瘁	cuì
U+94DD	铝	lǚ
U+853B	蔻	kòu
U+61A9	憩	qì
U+951A	锚	máo
U+6FD1	濑	lài
U+8018	耘	yún
U+4FFE	俾	bǐ
U+9B03	鬃	zōng
U+88DF	裟	shā
U+7962	祢	mí
U+82D2	苒	rǎn
U+8605	蘅	héng
U+9C7F	鱿	yóu
U+5537	唷	yō
U+50A5	傥	tǎng
U+8888	袈	jiā
U+8C7A	豺	chái
U+753A	町	dīng
U+6387	掇	duō
U+576F	坯	pī
U+960F	阏	yān
U+621B	戛	gā,jiá
U+8D2E	贮	zhù
U+587E	塾	shú
U+527D	剽	piāo
U+5B6C	孬	nāo
U+8869	衩	chǎ,chà
U+9563	镣	liào
U+620A	戊	wù
U+729F	犟	jiàng
U+9149	酉	yǒu
U+5925	夥	huǒ
U+65A1	斡	wò
U+73E9	珩	héng
U+531D	匝	zā
U+8BD8	诘	jié
U+652B	攫	jué
U+6F62	潢	huáng
U+9ED4	黔	qián
U+81C3	臃	yōng
U+7F42	罂	yīng
U+8F7C	轼	shì
U+9157	酗	xù
U+5639	嘹	liáo
U+962A	阪	bǎn
U+748E	璎	yīng
U+5197	冗	rǒng
U+6867	桧	guì,huì
U+95F3	闳	hóng
U+76BF	皿	mǐn
U+56E1	囡	nān
U+8F8D	辍	chuò
U+89CE	觎	yú
U+6D5A	浚	jùn,xùn
U+95F0	闰	rùn
U+81FC	臼	jiù
U+8E69	蹩	bié
U+7172	煲	bāo
U+6035	怵	chù
U+56E4	囤	dùn,tún
U+7F54	罔	wǎng
U+8693	蚓	yǐn
U+78B4	碴	chā,chá
U+59D2	姒	sì
U+7078	灸	jiǔ
U+86AF	蚯	qiū
U+55E5	嗥	háo
U+5811	堑	qiàn
U+7BB4	箴	zhēn
